Samples - Plot 0,Voltage (V) - Plot 0
1275,0.0784097
1276,0.0784003
1277,0.0784182
1278,0.0783928
1279,0.0783958
1280,0.0784049
1281,0.0783848
1282,0.0784023
1283,0.0783812
1284,0.0783832
1285,0.0783954
1286,0.0784106
1287,0.0784021
1288,0.0783825
1289,0.0783999
1290,0.0784006
1291,0.0783725
1292,0.0784038
1293,0.0783766
1294,0.0783959
1295,0.0783758
1296,0.0784098
1297,0.0784151
1298,0.0784125
1299,0.0784101
1300,0.0784124
1301,0.0784261
1302,0.0784225
1303,0.0784024
1304,0.0784048
1305,0.0784137
1306,0.0784091
1307,0.0784378
1308,0.078409
1309,0.078411
1310,0.0784034
1311,0.0784059
1312,0.0783806
1313,0.0783858
1314,0.078388
1315,0.0784015
1316,0.0784095
1317,0.0784041
1318,0.0783761
1319,0.0783991
1320,0.0784071
1321,0.0783913
1322,0.0783845
1323,0.0783927
1324,0.0783899
1325,0.0783857
1326,0.078426
1327,0.0783684
1328,0.0783891
1329,0.0783808
1330,0.0783664
1331,0.0783932
1332,0.0783909
1333,0.0783838
1334,0.0783959
1335,0.0783673
1336,0.0784042
1337,0.078366
1338,0.0784034
1339,0.0784057
1340,0.0783903
1341,0.0783837
1342,0.0783868
1343,0.0784254
1344,0.078415
1345,0.0784296
1346,0.0784164
1347,0.0784398
1348,0.0784459
1349,0.0784209
1350,0.0784101
1351,0.0784196
1352,0.0784155
1353,0.0784377
1354,0.0784139
1355,0.0784224
1356,0.0784182
1357,0.0783973
1358,0.0784307
1359,0.0783907
1360,0.0784323
1361,0.0784264
1362,0.078419
1363,0.0783921
1364,0.0784005
1365,0.0784105
1366,0.0784169
1367,0.0784078
1368,0.0784053
1369,0.0783888
1370,0.078403
1371,0.078429
1372,0.0784024
1373,0.078408
1374,0.0784039
1375,0.0784069
1376,0.078425
1377,0.0784081
1378,0.0784012
1379,0.0783995
1380,0.0783986
1381,0.0783897
1382,0.0784041
1383,0.0783695
1384,0.0783696
1385,0.0783964
1386,0.0783898
1387,0.0783734
1388,0.0784122
1389,0.078389
1390,0.0783848
1391,0.0783866
1392,0.0783955
1393,0.0783871
1394,0.0783976
1395,0.0784055
1396,0.078402
1397,0.0783797
1398,0.078382
1399,0.0784252
1400,0.0784238
1401,0.0783959
1402,0.0784013
1403,0.0784007
1404,0.0784084
1405,0.0783928
1406,0.0783903
1407,0.0783998
1408,0.0783877
1409,0.078376
1410,0.0783958
1411,0.0784091
1412,0.0783928
1413,0.0783975
1414,0.0784117
1415,0.0784045
1416,0.0784045
1417,0.0783958
1418,0.0784216
1419,0.0783738
1420,0.0784105
1421,0.0784025
1422,0.0784074
1423,0.0784161
1424,0.0784375
1425,0.078396
1426,0.0784044
1427,0.0783966
1428,0.0783829
1429,0.0783906
1430,0.0784019
1431,0.0784228
1432,0.0783794
1433,0.0784082
1434,0.0784116
1435,0.0783997
1436,0.0784147
1437,0.078411
1438,0.0784124
1439,0.0784159
1440,0.0784462
1441,0.0784067
1442,0.0784232
1443,0.078433
1444,0.0784408
1445,0.0784096
1446,0.0784255
1447,0.0784419
1448,0.0784471
1449,0.0784047
1450,0.0784039
1451,0.0784229
1452,0.0784085
1453,0.0784153
1454,0.0784212
1455,0.0784155
1456,0.0784215
1457,0.0783966
1458,0.0783923
1459,0.0783986
1460,0.0783845
1461,0.0784255
1462,0.0783951
1463,0.0784072
1464,0.0784146
1465,0.0783885
1466,0.078395
1467,0.0784269
1468,0.078405
1469,0.0784403
1470,0.0784026
1471,0.0784274
1472,0.0784012
1473,0.0784065
1474,0.0784203
1475,0.0784104
1476,0.0784025
1477,0.0784133
1478,0.0784279
1479,0.078427
1480,0.0784488
1481,0.0784329
1482,0.078425
1483,0.0784192
1484,0.0784143
1485,0.0784218
1486,0.078418
1487,0.0784138
1488,0.0784199
1489,0.0784183
1490,0.0784532
1491,0.0784178
1492,0.0784251
1493,0.0784325
1494,0.078417
1495,0.0784167
1496,0.0784242
1497,0.0784131
1498,0.0784419
1499,0.0784191
1500,0.0784333
1501,0.078413
1502,0.0784262
1503,0.0784302
1504,0.0784451
1505,0.0784175
1506,0.0784205
1507,0.078404
1508,0.0784293
1509,0.0784329
1510,0.0783965
1511,0.0784256
1512,0.0784092
1513,0.0784087
1514,0.0784106
1515,0.078416
1516,0.0784173
1517,0.0784218
1518,0.078425
1519,0.0784149
1520,0.07843
1521,0.0784187
1522,0.0784327
1523,0.078429
1524,0.0784117
1525,0.0784232
1526,0.0784276
1527,0.0784171
1528,0.0784125
1529,0.0784171
1530,0.0783997
1531,0.0783882
1532,0.0784112
1533,0.0784068
1534,0.078418
1535,0.0784353
1536,0.0784308
1537,0.0784092
1538,0.0784302
1539,0.078406
1540,0.0784121
1541,0.0784005
1542,0.078394
1543,0.0784042
1544,0.0784171
1545,0.0784215
1546,0.0784351
1547,0.0784024
1548,0.0784133
1549,0.078393
1550,0.0784463
1551,0.0784195
1552,0.0784093
1553,0.0784126
1554,0.0784315
1555,0.0784229
1556,0.0784029
1557,0.0784165
1558,0.078419
1559,0.0784089
1560,0.0784213
1561,0.0784121
1562,0.0783978
1563,0.0783826
1564,0.0784016
1565,0.0784097
1566,0.0784004
1567,0.0784025
1568,0.0783905
1569,0.0783924
1570,0.0784148
1571,0.0784021
1572,0.0784084
1573,0.0784139
1574,0.0784194
1575,0.0784053
1576,0.0784071
1577,0.0784339
1578,0.078433
1579,0.0784166
1580,0.0784113
1581,0.0784045
1582,0.0784117
1583,0.0784203
1584,0.0783773
1585,0.0784068
1586,0.0784053
1587,0.0783778
1588,0.0783902
1589,0.0784027
1590,0.0784016
1591,0.0783972
