Date,Open,High,Low,Close,Adj Close,Volume
2013-10-30,448.500000,451.250000,447.500000,448.799988,412.313843,467276
2013-10-31,450.125000,457.899994,448.500000,456.174988,419.089325,775046
2013-11-01,454.500000,462.500000,451.549988,453.924988,417.022217,780444
2013-11-05,452.000000,460.850006,452.000000,454.524994,417.573425,628470
2013-11-06,454.500000,459.950012,447.750000,449.350006,412.819214,564994
2013-11-07,448.825012,452.475006,441.250000,442.975006,406.962433,613818
2013-11-08,440.500000,442.975006,436.100006,437.750000,402.162201,614964
2013-11-11,437.500000,441.250000,430.424988,431.850006,396.741821,665178
2013-11-12,432.274994,435.725006,425.000000,426.125000,391.482330,574536
2013-11-13,425.500000,430.700012,422.000000,422.674988,388.312744,545336
2013-11-14,425.975006,432.000000,425.200012,425.875000,391.252625,456178
2013-11-18,428.174988,438.000000,428.174988,437.174988,401.634003,875448
2013-11-19,437.625000,442.200012,437.000000,438.350006,402.713470,551256
2013-11-20,436.125000,441.350006,428.625000,431.750000,396.649963,610106
2013-11-21,430.299988,430.500000,422.625000,424.049988,389.575958,517638
2013-11-22,425.524994,428.075012,420.049988,421.950012,387.646698,556752
2013-11-25,423.500000,428.399994,422.399994,425.674988,391.068848,447774
2013-11-26,426.000000,428.625000,420.000000,421.024994,386.796906,664330
2013-11-27,422.950012,424.875000,418.000000,418.975006,384.913574,615112
2013-11-28,423.000000,427.899994,421.649994,424.125000,389.644897,496454
2013-11-29,426.024994,428.475006,424.774994,426.549988,391.872711,493020
2013-12-02,426.375000,431.399994,426.250000,427.450012,392.699585,498140
2013-12-03,426.774994,432.725006,425.575012,430.950012,395.915039,812112
2013-12-04,430.750000,433.625000,426.899994,428.149994,393.342712,449190
2013-12-05,434.000000,438.500000,433.625000,434.924988,399.566864,885660
2013-12-06,434.774994,437.200012,431.000000,433.625000,398.372589,342044
2013-12-09,440.500000,444.000000,438.274994,439.250000,403.540283,672558
2013-12-10,439.850006,444.000000,439.500000,441.774994,405.859955,474944
2013-12-11,441.500000,441.825012,436.100006,440.500000,404.688660,371454
2013-12-12,439.375000,439.975006,434.399994,435.200012,399.819550,371618
2013-12-13,433.700012,433.899994,429.200012,431.674988,396.581055,317888
2013-12-16,430.100006,430.750000,421.125000,422.200012,387.876434,914780
2013-12-17,424.149994,426.350006,418.125000,419.475006,385.372894,336984
2013-12-18,419.500000,430.924988,419.500000,429.325012,394.422180,480950
2013-12-19,431.674988,432.350006,422.549988,427.274994,392.538818,749778
2013-12-20,437.000000,448.350006,431.149994,446.825012,410.499451,1301526
2013-12-23,448.575012,454.174988,445.250000,447.700012,411.303314,942334
2013-12-24,447.575012,452.250000,447.424988,448.075012,411.647827,404856
2013-12-26,447.500000,448.700012,441.000000,443.850006,407.766296,462136
2013-12-27,444.000000,446.524994,438.700012,439.350006,403.632141,397056
2013-12-30,441.000000,444.700012,438.000000,442.700012,406.709778,497124
2013-12-31,443.049988,449.000000,443.049988,447.399994,411.027679,385694
2014-01-01,448.375000,449.000000,443.600006,444.350006,408.225647,258544
2014-01-02,445.000000,447.899994,435.500000,437.674988,402.093262,381948
2014-01-03,435.100006,436.725006,428.200012,432.500000,397.338989,560120
2014-01-06,432.000000,432.000000,425.674988,427.450012,392.699585,474758
2014-01-07,427.750000,429.875000,420.100006,421.075012,386.842865,600614
2014-01-08,422.700012,428.250000,422.299988,424.125000,389.644897,433430
2014-01-09,425.000000,426.549988,422.475006,425.274994,390.701385,458220
2014-01-10,424.225006,437.350006,424.225006,428.450012,393.618317,858692
2014-01-13,432.549988,440.774994,432.549988,439.500000,403.769958,636082
2014-01-14,438.674988,442.399994,436.399994,440.549988,404.734558,454820
2014-01-15,440.000000,447.450012,440.000000,442.700012,406.709778,551074
2014-01-16,444.850006,445.975006,441.000000,442.575012,406.594971,358420
2014-01-17,444.500000,448.399994,440.375000,442.274994,406.319336,601972
2014-01-20,442.274994,444.424988,433.100006,434.750000,399.406097,777552
2014-01-21,436.625000,437.399994,431.424988,432.024994,396.902649,421686
2014-01-22,431.299988,437.850006,429.500000,436.100006,400.646393,433324
